,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
80,S,2,0.80,0.80,1.00,8.96,7.12,5.36,5.08,2.66
81,R,2,0.80,0.80,1.00,8.96,6.63,5.30,5.05,2.22
82,S,2,0.80,0.80,2.00,8.96,8.14,5.80,5.53,2.53
83,R,2,0.80,0.80,2.00,8.96,7.39,5.73,5.48,2.00
84,S,2,0.80,1.00,0.50,8.96,7.64,5.48,5.21,8.01
85,R,2,0.80,1.00,0.50,8.96,7.60,5.37,5.14,7.96
86,S,2,0.80,1.00,1.00,8.96,6.93,5.91,5.69,7.70
87,R,2,0.80,1.00,1.00,8.96,7.02,5.79,5.59,7.67
88,S,2,0.80,1.00,2.00,8.96,7.72,5.25,4.99,6.14
89,R,2,0.80,1.00,2.00,8.96,7.93,5.16,4.93,6.05
90,S,2,0.90,0.50,0.50,18.65,9.97,10.43,9.90,7.25
91,R,2,0.90,0.50,0.50,18.65,10.81,10.09,9.59,6.44
92,S,2,0.90,0.50,1.00,18.65,8.51,6.93,6.33,17.20
93,R,2,0.90,0.50,1.00,18.65,8.39,6.56,6.00,17.19
94,S,2,0.90,0.50,2.00,18.65,9.28,7.07,6.50,17.22
95,R,2,0.90,0.50,2.00,18.65,9.14,6.75,6.27,17.20
96,S,2,0.90,0.80,0.50,18.65,10.80,9.02,8.60,6.02
97,R,2,0.90,0.80,0.50,18.65,9.31,8.54,8.20,3.63
98,S,2,0.90,0.80,1.00,18.65,7.79,8.78,7.93,9.47
99,R,2,0.90,0.80,1.00,18.65,6.90,8.30,7.70,9.14
100,S,2,0.90,0.80,2.00,18.65,7.85,6.99,6.27,9.48
101,R,2,0.90,0.80,2.00,18.65,7.01,6.67,6.06,9.22
102,S,2,0.90,1.00,0.50,18.65,8.84,8.85,8.11,17.27
103,R,2,0.90,1.00,0.50,18.65,7.81,8.39,7.76,17.29
104,S,2,0.90,1.00,1.00,18.65,9.95,8.17,7.28,17.26
