,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
0,S,fro,0.8,0.5,0.5,30.020569080236218,20.052451093613968,15.96133257025813,15.630100681043597,25.269268030557075
1,R,fro,0.8,0.5,0.5,30.020569080236218,19.36156368295087,15.808895930018554,15.489429948199199,25.16887292620453
2,S,2,0.8,0.5,0.5,8.959507988743779,7.390115331442,5.775191220370071,5.519783058986532,7.569264764262558
3,R,2,0.8,0.5,0.5,8.959507988743779,6.893626533124766,5.786808761212618,5.543339322882703,7.546940764853233
4,S,1,0.8,0.5,0.5,8.999999998166672,21.292667533994862,14.469993906608268,14.738193630747542,8.32164259665996
5,R,1,0.8,0.5,0.5,8.999999998166672,19.18854909054545,14.13469881652534,14.303189447645327,7.9999999978870875
6,S,fro,0.8,0.5,1.0,30.020569080236218,20.052451093613968,15.96133257025813,15.630100681043597,25.149125267725378
7,R,fro,0.8,0.5,1.0,30.020569080236218,19.36156368295087,15.808895930018554,15.489429948199199,25.043243557525468
8,S,2,0.8,0.5,1.0,8.959507988743779,7.390115331442,5.775191220370071,5.519783058986532,7.5224612702664455
9,R,2,0.8,0.5,1.0,8.959507988743779,6.893626533124766,5.786808761212618,5.543339322882703,7.529712988921685
10,S,1,0.8,0.5,1.0,8.999999998166672,21.292667533994862,14.469993906608268,14.738193630747542,8.395332975057826
11,R,1,0.8,0.5,1.0,8.999999998166672,19.18854909054545,14.13469881652534,14.303189447645327,7.99999999816667
12,S,fro,0.8,0.5,2.0,30.020569080236218,20.052451093613968,15.96133257025813,15.630100681043597,25.240907249806618
13,R,fro,0.8,0.5,2.0,30.020569080236218,19.36156368295087,15.808895930018554,15.489429948199199,25.144261966778338
14,S,2,0.8,0.5,2.0,8.959507988743779,7.390115331442,5.775191220370071,5.519783058986532,7.56735338039843
15,R,2,0.8,0.5,2.0,8.959507988743779,6.893626533124766,5.786808761212618,5.543339322882703,7.573186854375449
16,S,1,0.8,0.5,2.0,8.999999998166672,21.292667533994862,14.469993906608268,14.738193630747542,8.469125221326934
17,R,1,0.8,0.5,2.0,8.999999998166672,19.18854909054545,14.13469881652534,14.303189447645327,7.99999999816667
18,S,fro,0.8,0.8,0.5,30.020569080236218,20.052451093613968,15.96133257025813,15.630100681043597,25.29142508131032
19,R,fro,0.8,0.8,0.5,30.020569080236218,19.36156368295087,15.808895930018554,15.489429948199199,25.19485095370087
20,S,2,0.8,0.8,0.5,8.959507988743779,7.390115331442,5.775191220370071,5.519783058986532,7.552710839278445
21,R,2,0.8,0.8,0.5,8.959507988743779,6.893626533124766,5.786808761212618,5.543339322882703,7.542146305303712
22,S,1,0.8,0.8,0.5,8.999999998166672,21.292667533994862,14.469993906608268,14.738193630747542,8.469125221326934
23,R,1,0.8,0.8,0.5,8.999999998166672,19.18854909054545,14.13469881652534,14.303189447645327,7.9999999978870875
24,S,fro,0.8,0.8,1.0,30.020569080236218,20.052451093613968,15.96133257025813,15.630100681043597,25.29091417036202
25,R,fro,0.8,0.8,1.0,30.020569080236218,19.36156368295087,15.808895930018554,15.489429948199199,25.194908257839995
26,S,2,0.8,0.8,1.0,8.959507988743779,7.390115331442,5.775191220370071,5.519783058986532,7.541934171446485
27,R,2,0.8,0.8,1.0,8.959507988743779,6.893626533124766,5.786808761212618,5.543339322882703,7.5535342294418575
28,S,1,0.8,0.8,1.0,8.999999998166672,21.292667533994862,14.469993906608268,14.738193630747542,8.395332975057826
29,R,1,0.8,0.8,1.0,8.999999998166672,19.18854909054545,14.13469881652534,14.303189447645327,7.99999999816667
30,S,fro,0.8,0.8,2.0,30.020569080236218,20.052451093613968,15.96133257025813,15.630100681043597,25.020872618258263
31,R,fro,0.8,0.8,2.0,30.020569080236218,19.36156368295087,15.808895930018554,15.489429948199199,24.914574539732374
32,S,2,0.8,0.8,2.0,8.959507988743779,7.390115331442,5.775191220370071,5.519783058986532,7.457483299632594
33,R,2,0.8,0.8,2.0,8.959507988743779,6.893626533124766,5.786808761212618,5.543339322882703,7.464683442667786
34,S,1,0.8,0.8,2.0,8.999999998166672,21.292667533994862,14.469993906608268,14.738193630747542,8.32164259665996
35,R,1,0.8,0.8,2.0,8.999999998166672,19.18854909054545,14.13469881652534,14.303189447645327,7.9999999978870875
36,S,fro,0.8,1.0,0.5,30.020569080236218,20.052451093613968,15.96133257025813,15.630100681043597,25.561769033862706
37,R,fro,0.8,1.0,0.5,30.020569080236218,19.36156368295087,15.808895930018554,15.489429948199199,25.47212594350274
38,S,2,0.8,1.0,0.5,8.959507988743779,7.390115331442,5.775191220370071,5.519783058986532,7.645334140887256
39,R,2,0.8,1.0,0.5,8.959507988743779,6.893626533124766,5.786808761212618,5.543339322882703,7.664095964365328
40,S,1,0.8,1.0,0.5,8.999999998166672,21.292667533994862,14.469993906608268,14.738193630747542,8.469125221326934
41,R,1,0.8,1.0,0.5,8.999999998166672,19.18854909054545,14.13469881652534,14.303189447645327,7.9999999978870875
42,S,fro,0.8,1.0,1.0,30.020569080236218,20.052451093613968,15.96133257025813,15.630100681043597,25.561769033862706
43,R,fro,0.8,1.0,1.0,30.020569080236218,19.36156368295087,15.808895930018554,15.489429948199199,25.47212594350274
44,S,2,0.8,1.0,1.0,8.959507988743779,7.390115331442,5.775191220370071,5.519783058986532,7.645334140887256
45,R,2,0.8,1.0,1.0,8.959507988743779,6.893626533124766,5.786808761212618,5.543339322882703,7.664095964365328
46,S,1,0.8,1.0,1.0,8.999999998166672,21.292667533994862,14.469993906608268,14.738193630747542,8.469125221326934
47,R,1,0.8,1.0,1.0,8.999999998166672,19.18854909054545,14.13469881652534,14.303189447645327,7.9999999978870875
48,S,fro,0.8,1.0,2.0,30.020569080236218,20.052451093613968,15.96133257025813,15.630100681043597,25.561769033862706
49,R,fro,0.8,1.0,2.0,30.020569080236218,19.36156368295087,15.808895930018554,15.489429948199199,25.47212594350274
50,S,2,0.8,1.0,2.0,8.959507988743779,7.390115331442,5.775191220370071,5.519783058986532,7.645334140887256
51,R,2,0.8,1.0,2.0,8.959507988743779,6.893626533124766,5.786808761212618,5.543339322882703,7.664095964365328
52,S,1,0.8,1.0,2.0,8.999999998166672,21.292667533994862,14.469993906608268,14.738193630747542,8.469125221326934
53,R,1,0.8,1.0,2.0,8.999999998166672,19.18854909054545,14.13469881652534,14.303189447645327,7.9999999978870875
