,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
0,S,fro,0.8,0.5,0.5,47.62248664830408,24.94813183208767,21.666508177483745,21.088503509170984,7.552334964118316
1,R,fro,0.8,0.5,0.5,47.62248664830408,24.82405722342778,21.512487386803485,20.978904356935715,6.517629003325422
2,S,2,0.8,0.5,0.5,8.993148140582399,6.791039284608455,5.030147582080265,4.688549996612499,1.8443822061044612
3,R,2,0.8,0.5,0.5,8.993148140582399,6.46182562191897,4.947598110032144,4.630046182077303,1.4804133998538753
4,S,fro,0.8,0.5,2.0,47.62248664830408,24.94813183208767,21.666508177483745,21.088503509170984,9.336700433334542
5,R,fro,0.8,0.5,2.0,47.62248664830408,24.82405722342778,21.512487386803485,20.978904356935715,8.540859095403084
6,S,2,0.8,0.5,2.0,8.993148140582399,6.791039284608455,5.030147582080265,4.688549996612499,1.99530318893768
7,R,2,0.8,0.5,2.0,8.993148140582399,6.46182562191897,4.947598110032144,4.630046182077303,1.6458010638093081
8,S,fro,0.8,0.8,0.5,47.62248664830408,24.94813183208767,21.666508177483745,21.088503509170984,25.520600366209734
9,R,fro,0.8,0.8,0.5,47.62248664830408,24.82405722342778,21.512487386803485,20.978904356935715,25.333136686294484
10,S,2,0.8,0.8,0.5,8.993148140582399,6.791039284608455,5.030147582080265,4.688549996612499,5.000051911073567
11,R,2,0.8,0.8,0.5,8.993148140582399,6.46182562191897,4.947598110032144,4.630046182077303,4.846335620165986
12,S,fro,0.8,0.8,2.0,47.62248664830408,24.94813183208767,21.666508177483745,21.088503509170984,7.79404712276662
13,R,fro,0.8,0.8,2.0,47.62248664830408,24.82405722342778,21.512487386803485,20.978904356935715,6.796247702548708
14,S,2,0.8,0.8,2.0,8.993148140582399,6.791039284608455,5.030147582080265,4.688549996612499,1.7484259059447775
15,R,2,0.8,0.8,2.0,8.993148140582399,6.46182562191897,4.947598110032144,4.630046182077303,1.3962735672160949
16,S,fro,0.8,1.0,0.5,47.62248664830408,24.94813183208767,21.666508177483745,21.088503509170984,7.171247271016642
17,R,fro,0.8,1.0,0.5,47.62248664830408,24.82405722342778,21.512487386803485,20.978904356935715,6.064074173955837
18,S,2,0.8,1.0,0.5,8.993148140582399,6.791039284608455,5.030147582080265,4.688549996612499,1.853299940277097
19,R,2,0.8,1.0,0.5,8.993148140582399,6.46182562191897,4.947598110032144,4.630046182077303,1.4860355917259058
20,S,fro,0.8,1.0,2.0,47.62248664830408,24.94813183208767,21.666508177483745,21.088503509170984,6.803234329436974
21,R,fro,0.8,1.0,2.0,47.62248664830408,24.82405722342778,21.512487386803485,20.978904356935715,5.6176109473185045
22,S,2,0.8,1.0,2.0,8.993148140582399,6.791039284608455,5.030147582080265,4.688549996612499,1.6679266715737298
23,R,2,0.8,1.0,2.0,8.993148140582399,6.46182562191897,4.947598110032144,4.630046182077303,1.3010532356739652
24,S,fro,0.9,0.5,0.5,68.68975577534437,26.56093435834038,24.07388423728828,23.18984666738658,63.29526875318787
25,R,fro,0.9,0.5,0.5,68.68975577534437,25.35329551265966,23.41871551971383,22.58951419592765,63.25525162256575
26,S,2,0.9,0.5,0.5,18.93754534891772,8.206208057651,7.4519015084069355,6.865376074528682,17.466717788976197
27,R,2,0.9,0.5,0.5,18.93754534891772,7.513406463067109,7.362629368560264,6.826924369722607,17.474108773905147
28,S,fro,0.9,0.5,2.0,68.68975577534437,26.56093435834038,24.07388423728828,23.18984666738658,63.27013541184687
29,R,fro,0.9,0.5,2.0,68.68975577534437,25.35329551265966,23.41871551971383,22.58951419592765,63.22965376734046
30,S,2,0.9,0.5,2.0,18.93754534891772,8.206208057651,7.4519015084069355,6.865376074528682,17.43948374142292
31,R,2,0.9,0.5,2.0,18.93754534891772,7.513406463067109,7.362629368560264,6.826924369722607,17.449089355134927
32,S,fro,0.9,0.8,0.5,68.68975577534437,26.56093435834038,24.07388423728828,23.18984666738658,63.31928658015712
33,R,fro,0.9,0.8,0.5,68.68975577534437,25.35329551265966,23.41871551971383,22.58951419592765,63.28081170214582
34,S,2,0.9,0.8,0.5,18.93754534891772,8.206208057651,7.4519015084069355,6.865376074528682,17.472005757708814
35,R,2,0.9,0.8,0.5,18.93754534891772,7.513406463067109,7.362629368560264,6.826924369722607,17.485491084864666
36,S,fro,0.9,0.8,2.0,68.68975577534437,26.56093435834038,24.07388423728828,23.18984666738658,63.18130703129982
37,R,fro,0.9,0.8,2.0,68.68975577534437,25.35329551265966,23.41871551971383,22.58951419592765,63.13992435374073
38,S,2,0.9,0.8,2.0,18.93754534891772,8.206208057651,7.4519015084069355,6.865376074528682,17.410152583231007
39,R,2,0.9,0.8,2.0,18.93754534891772,7.513406463067109,7.362629368560264,6.826924369722607,17.419044088428503
40,S,fro,0.9,1.0,0.5,68.68975577534437,26.56093435834038,24.07388423728828,23.18984666738658,64.09117144278548
41,R,fro,0.9,1.0,0.5,68.68975577534437,25.35329551265966,23.41871551971383,22.58951419592765,64.05681210983785
42,S,2,0.9,1.0,0.5,18.93754534891772,8.206208057651,7.4519015084069355,6.865376074528682,17.727055744227307
43,R,2,0.9,1.0,0.5,18.93754534891772,7.513406463067109,7.362629368560264,6.826924369722607,17.734826864562116
44,S,fro,0.9,1.0,2.0,68.68975577534437,26.56093435834038,24.07388423728828,23.18984666738658,64.09117144278548
45,R,fro,0.9,1.0,2.0,68.68975577534437,25.35329551265966,23.41871551971383,22.58951419592765,64.05681210983785
46,S,2,0.9,1.0,2.0,18.93754534891772,8.206208057651,7.4519015084069355,6.865376074528682,17.727055744227307
47,R,2,0.9,1.0,2.0,18.93754534891772,7.513406463067109,7.362629368560264,6.826924369722607,17.734826864562116
48,S,fro,0.95,0.5,0.5,97.80866615094735,25.791974963864817,24.629325543822432,23.824791951695687,89.08491651630324
49,R,fro,0.95,0.5,0.5,97.80866615094735,24.614866962348543,23.676868513584296,22.978404379855355,89.03963125622165
50,S,2,0.95,0.5,0.5,38.50264813100928,11.524035009234005,9.025106682938393,8.439171711074357,35.08744329250589
51,R,2,0.95,0.5,0.5,38.50264813100928,10.305830561026813,8.713240890727409,8.296957490661258,35.0963915939744
52,S,fro,0.95,0.5,2.0,97.80866615094735,25.791974963864817,24.629325543822432,23.824791951695687,73.95230508715419
53,R,fro,0.95,0.5,2.0,97.80866615094735,24.614866962348543,23.676868513584296,22.978404379855355,73.8060482270753
54,S,2,0.95,0.5,2.0,38.50264813100928,11.524035009234005,9.025106682938393,8.439171711074357,28.85086525288006
55,R,2,0.95,0.5,2.0,38.50264813100928,10.305830561026813,8.713240890727409,8.296957490661258,28.857904459024486
56,S,fro,0.95,0.8,0.5,97.80866615094735,25.791974963864817,24.629325543822432,23.824791951695687,89.09365550221023
57,R,fro,0.95,0.8,0.5,97.80866615094735,24.614866962348543,23.676868513584296,22.978404379855355,89.04877836080357
58,S,2,0.95,0.8,0.5,38.50264813100928,11.524035009234005,9.025106682938393,8.439171711074357,35.07147426075681
59,R,2,0.95,0.8,0.5,38.50264813100928,10.305830561026813,8.713240890727409,8.296957490661258,35.080713125912375
60,S,fro,0.95,0.8,2.0,97.80866615094735,25.791974963864817,24.629325543822432,23.824791951695687,72.56159254074134
61,R,fro,0.95,0.8,2.0,97.80866615094735,24.614866962348543,23.676868513584296,22.978404379855355,72.40389358255351
62,S,2,0.95,0.8,2.0,38.50264813100928,11.524035009234005,9.025106682938393,8.439171711074357,28.48234829509885
63,R,2,0.95,0.8,2.0,38.50264813100928,10.305830561026813,8.713240890727409,8.296957490661258,28.49387126124552
64,S,fro,0.95,1.0,0.5,97.80866615094735,25.791974963864817,24.629325543822432,23.824791951695687,89.30342499487757
65,R,fro,0.95,1.0,0.5,97.80866615094735,24.614866962348543,23.676868513584296,22.978404379855355,89.25890019577683
66,S,2,0.95,1.0,0.5,38.50264813100928,11.524035009234005,9.025106682938393,8.439171711074357,35.20555218933191
67,R,2,0.95,1.0,0.5,38.50264813100928,10.305830561026813,8.713240890727409,8.296957490661258,35.21366445508822
68,S,fro,0.95,1.0,2.0,97.80866615094735,25.791974963864817,24.629325543822432,23.824791951695687,89.30342499487757
69,R,fro,0.95,1.0,2.0,97.80866615094735,24.614866962348543,23.676868513584296,22.978404379855355,89.25890019577683
70,S,2,0.95,1.0,2.0,38.50264813100928,11.524035009234005,9.025106682938393,8.439171711074357,35.20555218933191
71,R,2,0.95,1.0,2.0,38.50264813100928,10.305830561026813,8.713240890727409,8.296957490661258,35.21366445508822
72,S,fro,0.99,0.5,0.5,211.66387261535434,27.472265922145624,26.764913044779238,197.99719244334074,210.48552086997978
73,R,fro,0.99,0.5,0.5,211.66387261535434,23.324154153994797,22.94356046119826,205.42744938464259,210.47944073122423
74,S,2,0.99,0.5,0.5,164.8475212829634,16.560140538512982,17.620857755862744,162.09803461686698,163.83529928071962
75,R,2,0.99,0.5,0.5,164.8475212829634,14.767326455464469,15.732462186194665,157.25417583643826,163.84752128296336
76,S,fro,0.99,0.5,2.0,211.66387261535434,27.472265922145624,26.764913044779238,197.99719244334074,209.85443066037604
77,R,fro,0.99,0.5,2.0,211.66387261535434,23.324154153994797,22.94356046119826,205.42744938464259,209.8452001467236
78,S,2,0.99,0.5,2.0,164.8475212829634,16.560140538512982,17.620857755862744,162.09803461686698,163.28414096783405
79,R,2,0.99,0.5,2.0,164.8475212829634,14.767326455464469,15.732462186194665,157.25417583643826,163.3018315850747
80,S,fro,0.99,0.8,0.5,211.66387261535434,27.472265922145624,26.764913044779238,197.99719244334074,209.87297240973132
81,R,fro,0.99,0.8,0.5,211.66387261535434,23.324154153994797,22.94356046119826,205.42744938464259,209.86388166896
82,S,2,0.99,0.8,0.5,164.8475212829634,16.560140538512982,17.620857755862744,162.09803461686698,163.31179355485554
83,R,2,0.99,0.8,0.5,164.8475212829634,14.767326455464469,15.732462186194665,157.25417583643826,163.33085405261406
84,S,fro,0.99,0.8,2.0,211.66387261535434,27.472265922145624,26.764913044779238,197.99719244334074,210.48552086997978
85,R,fro,0.99,0.8,2.0,211.66387261535434,23.324154153994797,22.94356046119826,205.42744938464259,210.47944073122423
86,S,2,0.99,0.8,2.0,164.8475212829634,16.560140538512982,17.620857755862744,162.09803461686698,163.83529928071962
87,R,2,0.99,0.8,2.0,164.8475212829634,14.767326455464469,15.732462186194665,157.25417583643826,163.84752128296336
88,S,fro,0.99,1.0,0.5,211.66387261535434,27.472265922145624,26.764913044779238,197.99719244334074,210.15615410929794
89,R,fro,0.99,1.0,0.5,211.66387261535434,23.324154153994797,22.94356046119826,205.42744938464259,210.14856873222183
