,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
0,S,fro,0.8,0.5,0.5,47.62248664830408,35.60946218153461,27.408812328605737,26.780900290448184,40.04831677053759
1,R,fro,0.8,0.5,0.5,47.62248664830408,35.41368446404787,27.285134697477556,26.68548034490856,39.957284891902404
2,S,2,0.8,0.5,0.5,8.993148140582399,8.797265818574544,5.851559793549797,5.572279146366434,7.625146770664027
3,R,2,0.8,0.5,0.5,8.993148140582399,8.706242955158805,5.761758754537819,5.4785204292939715,7.612204737077043
4,S,fro,0.8,0.5,2.0,47.62248664830408,35.60946218153461,27.408812328605737,26.780900290448184,40.019173807752274
5,R,fro,0.8,0.5,2.0,47.62248664830408,35.41368446404787,27.285134697477556,26.68548034490856,39.925841688249996
6,S,2,0.8,0.5,2.0,8.993148140582399,8.797265818574544,5.851559793549797,5.572279146366434,7.615442486604556
7,R,2,0.8,0.5,2.0,8.993148140582399,8.706242955158805,5.761758754537819,5.4785204292939715,7.590879799489956
8,S,fro,0.8,0.8,0.5,47.62248664830408,35.60946218153461,27.408812328605737,26.780900290448184,40.08212597965287
9,R,fro,0.8,0.8,0.5,47.62248664830408,35.41368446404787,27.285134697477556,26.68548034490856,39.98931506580167
10,S,2,0.8,0.8,0.5,8.993148140582399,8.797265818574544,5.851559793549797,5.572279146366434,7.607299501629701
11,R,2,0.8,0.8,0.5,8.993148140582399,8.706242955158805,5.761758754537819,5.4785204292939715,7.618947784952583
12,S,fro,0.8,0.8,2.0,47.62248664830408,35.60946218153461,27.408812328605737,26.780900290448184,39.90659890494583
13,R,fro,0.8,0.8,2.0,47.62248664830408,35.41368446404787,27.285134697477556,26.68548034490856,39.81320316771986
14,S,2,0.8,0.8,2.0,8.993148140582399,8.797265818574544,5.851559793549797,5.572279146366434,7.5866196833833675
15,R,2,0.8,0.8,2.0,8.993148140582399,8.706242955158805,5.761758754537819,5.4785204292939715,7.554518697881273
