,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
0,S,fro,0.8,0.5,0.5,47.62248664830408,28.724616685464245,23.851587763816653,23.18715173188739,40.000136273089076
1,R,fro,0.8,0.5,0.5,47.62248664830408,28.65152568162837,23.749713884243267,23.113746689882817,39.95600064542402
2,S,2,0.8,0.5,0.5,8.993148140582399,7.149522610833198,5.168572151637086,4.875515980030388,7.619141536889452
3,R,2,0.8,0.5,0.5,8.993148140582399,7.030986090237683,5.105870785437277,4.832144013023486,7.612151975434083
4,S,fro,0.8,0.5,2.0,47.62248664830408,28.724616685464245,23.851587763816653,23.18715173188739,39.970019440656145
5,R,fro,0.8,0.5,2.0,47.62248664830408,28.65152568162837,23.749713884243267,23.113746689882817,39.923903076818476
6,S,2,0.8,0.5,2.0,8.993148140582399,7.149522610833198,5.168572151637086,4.875515980030388,7.595659589106861
7,R,2,0.8,0.5,2.0,8.993148140582399,7.030986090237683,5.105870785437277,4.832144013023486,7.588032732569698
8,S,fro,0.8,0.8,0.5,47.62248664830408,28.724616685464245,23.851587763816653,23.18715173188739,40.03338785322232
9,R,fro,0.8,0.8,0.5,47.62248664830408,28.65152568162837,23.749713884243267,23.113746689882817,39.98798329903404
10,S,2,0.8,0.8,0.5,8.993148140582399,7.149522610833198,5.168572151637086,4.875515980030388,7.6021926754436935
11,R,2,0.8,0.8,0.5,8.993148140582399,7.030986090237683,5.105870785437277,4.832144013023486,7.619181922414307
12,S,fro,0.8,0.8,2.0,47.62248664830408,28.724616685464245,23.851587763816653,23.18715173188739,39.85681011284929
13,R,fro,0.8,0.8,2.0,47.62248664830408,28.65152568162837,23.749713884243267,23.113746689882817,39.81171554988312
14,S,2,0.8,0.8,2.0,8.993148140582399,7.149522610833198,5.168572151637086,4.875515980030388,7.566753099824788
15,R,2,0.8,0.8,2.0,8.993148140582399,7.030986090237683,5.105870785437277,4.832144013023486,7.552864629038312
16,S,fro,0.8,1.0,0.5,47.62248664830408,28.724616685464245,23.851587763816653,23.18715173188739,40.99050091218614
17,R,fro,0.8,1.0,0.5,47.62248664830408,28.65152568162837,23.749713884243267,23.113746689882817,40.95206087378879
18,S,2,0.8,1.0,0.5,8.993148140582399,7.149522610833198,5.168572151637086,4.875515980030388,7.874361583729975
19,R,2,0.8,1.0,0.5,8.993148140582399,7.030986090237683,5.105870785437277,4.832144013023486,7.869941189451539
20,S,fro,0.8,1.0,2.0,47.62248664830408,28.724616685464245,23.851587763816653,23.18715173188739,40.99050091218614
21,R,fro,0.8,1.0,2.0,47.62248664830408,28.65152568162837,23.749713884243267,23.113746689882817,40.95206087378879
22,S,2,0.8,1.0,2.0,8.993148140582399,7.149522610833198,5.168572151637086,4.875515980030388,7.874361583729975
23,R,2,0.8,1.0,2.0,8.993148140582399,7.030986090237683,5.105870785437277,4.832144013023486,7.869941189451539
24,S,fro,0.9,0.5,0.5,68.68975577534437,28.6458202110331,26.843032040673542,25.96468780372719,56.84413843710371
25,R,fro,0.9,0.5,0.5,68.68975577534437,28.417580398831298,26.27476965632367,25.51308948979496,56.732523618808884
26,S,2,0.9,0.5,0.5,18.93754534891772,8.64385474207349,8.831257021943948,8.271629210723725,15.768389735652974
27,R,2,0.9,0.5,0.5,18.93754534891772,8.51210148625393,8.464419877826943,7.896977877449676,15.698602522000733
28,S,fro,0.9,0.5,2.0,68.68975577534437,28.6458202110331,26.843032040673542,25.96468780372719,43.93564168270165
29,R,fro,0.9,0.5,2.0,68.68975577534437,28.417580398831298,26.27476965632367,25.51308948979496,43.63481383274162
30,S,2,0.9,0.5,2.0,18.93754534891772,8.64385474207349,8.831257021943948,8.271629210723725,12.117812348526426
31,R,2,0.9,0.5,2.0,18.93754534891772,8.51210148625393,8.464419877826943,7.896977877449676,11.828995327638527
32,S,fro,0.9,0.8,0.5,68.68975577534437,28.6458202110331,26.843032040673542,25.96468780372719,56.85585375178592
33,R,fro,0.9,0.8,0.5,68.68975577534437,28.417580398831298,26.27476965632367,25.51308948979496,56.74410042039242
34,S,2,0.9,0.8,0.5,18.93754534891772,8.64385474207349,8.831257021943948,8.271629210723725,15.747438666591801
35,R,2,0.9,0.8,0.5,18.93754534891772,8.51210148625393,8.464419877826943,7.896977877449676,15.682094908662247
36,S,fro,0.9,0.8,2.0,68.68975577534437,28.6458202110331,26.843032040673542,25.96468780372719,24.670638988197446
37,R,fro,0.9,0.8,2.0,68.68975577534437,28.417580398831298,26.27476965632367,25.51308948979496,23.847636708793303
38,S,2,0.9,0.8,2.0,18.93754534891772,8.64385474207349,8.831257021943948,8.271629210723725,6.8485083984172155
39,R,2,0.9,0.8,2.0,18.93754534891772,8.51210148625393,8.464419877826943,7.896977877449676,6.058960413923412
40,S,fro,0.9,1.0,0.5,68.68975577534437,28.6458202110331,26.843032040673542,25.96468780372719,57.11636468792266
41,R,fro,0.9,1.0,0.5,68.68975577534437,28.417580398831298,26.27476965632367,25.51308948979496,57.00922515355224
42,S,2,0.9,1.0,0.5,18.93754534891772,8.64385474207349,8.831257021943948,8.271629210723725,15.872496034129876
43,R,2,0.9,1.0,0.5,18.93754534891772,8.51210148625393,8.464419877826943,7.896977877449676,15.806318716486881
44,S,fro,0.9,1.0,2.0,68.68975577534437,28.6458202110331,26.843032040673542,25.96468780372719,57.11636468792266
45,R,fro,0.9,1.0,2.0,68.68975577534437,28.417580398831298,26.27476965632367,25.51308948979496,57.00922515355224
46,S,2,0.9,1.0,2.0,18.93754534891772,8.64385474207349,8.831257021943948,8.271629210723725,15.872496034129876
47,R,2,0.9,1.0,2.0,18.93754534891772,8.51210148625393,8.464419877826943,7.896977877449676,15.806318716486881
48,S,fro,0.95,0.5,0.5,97.80866615094735,29.11496580070767,26.90202271393809,25.80639352458142,89.10177237085614
