,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
0,S,fro,0.8,0.5,0.5,47.62248664830408,50.29671059374246,32.1511876685161,31.84404516063138,40.09293578242305
1,R,fro,0.8,0.5,0.5,47.62248664830408,49.747580198006304,32.0895944713567,31.785576740298577,39.95868437102854
2,S,2,0.8,0.5,0.5,8.993148140582399,13.611765480490593,7.004762375941725,6.838739267248537,7.614109549770649
3,R,2,0.8,0.5,0.5,8.993148140582399,13.152235744928605,6.995331946400239,6.837061585485933,7.611581583697427
4,S,fro,0.8,0.5,2.0,47.62248664830408,50.29671059374246,32.1511876685161,31.84404516063138,40.06635073384549
5,R,fro,0.8,0.5,2.0,47.62248664830408,49.747580198006304,32.0895944713567,31.785576740298577,39.927227055080635
6,S,2,0.8,0.5,2.0,8.993148140582399,13.611765480490593,7.004762375941725,6.838739267248537,7.585344243987458
7,R,2,0.8,0.5,2.0,8.993148140582399,13.152235744928605,6.995331946400239,6.837061585485933,7.585270116902685
8,S,fro,0.8,0.8,0.5,47.62248664830408,50.29671059374246,32.1511876685161,31.84404516063138,40.127193536380204
9,R,fro,0.8,0.8,0.5,47.62248664830408,49.747580198006304,32.0895944713567,31.785576740298577,39.990890349848875
10,S,2,0.8,0.8,0.5,8.993148140582399,13.611765480490593,7.004762375941725,6.838739267248537,7.626804858638989
11,R,2,0.8,0.8,0.5,8.993148140582399,13.152235744928605,6.995331946400239,6.837061585485933,7.619505523556183
12,S,fro,0.8,0.8,2.0,47.62248664830408,50.29671059374246,32.1511876685161,31.84404516063138,39.956554415101266
13,R,fro,0.8,0.8,2.0,47.62248664830408,49.747580198006304,32.0895944713567,31.785576740298577,39.81483976364082
14,S,2,0.8,0.8,2.0,8.993148140582399,13.611765480490593,7.004762375941725,6.838739267248537,7.575292090708981
15,R,2,0.8,0.8,2.0,8.993148140582399,13.152235744928605,6.995331946400239,6.837061585485933,7.553717397998484
16,S,fro,0.8,1.0,0.5,47.62248664830408,50.29671059374246,32.1511876685161,31.84404516063138,41.06781007187144
17,R,fro,0.8,1.0,0.5,47.62248664830408,49.747580198006304,32.0895944713567,31.785576740298577,40.95385863566351
18,S,2,0.8,1.0,0.5,8.993148140582399,13.611765480490593,7.004762375941725,6.838739267248537,7.862014966664127
19,R,2,0.8,1.0,0.5,8.993148140582399,13.152235744928605,6.995331946400239,6.837061585485933,7.868749763605864
20,S,fro,0.8,1.0,2.0,47.62248664830408,50.29671059374246,32.1511876685161,31.84404516063138,41.06781007187144
21,R,fro,0.8,1.0,2.0,47.62248664830408,49.747580198006304,32.0895944713567,31.785576740298577,40.95385863566351
22,S,2,0.8,1.0,2.0,8.993148140582399,13.611765480490593,7.004762375941725,6.838739267248537,7.862014966664127
23,R,2,0.8,1.0,2.0,8.993148140582399,13.152235744928605,6.995331946400239,6.837061585485933,7.868749763605864
24,S,fro,0.9,0.5,0.5,68.68975577534437,47.693794246936,39.93940311890149,38.96914621250651,56.96195908776996
25,R,fro,0.9,0.5,0.5,68.68975577534437,48.643180793329094,39.45941354111154,38.679872151089434,56.736808491522666
26,S,2,0.9,0.5,0.5,18.93754534891772,15.434544301413132,12.297003629941196,11.74221202292155,15.805619520782809
27,R,2,0.9,0.5,0.5,18.93754534891772,16.110332928649086,12.142745884500291,11.60284701076563,15.699505623554758
28,S,fro,0.9,0.5,2.0,68.68975577534437,47.693794246936,39.93940311890149,38.96914621250651,19.12997593681279
29,R,fro,0.9,0.5,2.0,68.68975577534437,48.643180793329094,39.45941354111154,38.679872151089434,17.18747899095096
30,S,2,0.9,0.5,2.0,18.93754534891772,15.434544301413132,12.297003629941196,11.74221202292155,5.13717134941239
31,R,2,0.9,0.5,2.0,18.93754534891772,16.110332928649086,12.142745884500291,11.60284701076563,3.639251375076045
32,S,fro,0.9,0.8,0.5,68.68975577534437,47.693794246936,39.93940311890149,38.96914621250651,56.97241220560405
33,R,fro,0.9,0.8,0.5,68.68975577534437,48.643180793329094,39.45941354111154,38.679872151089434,56.748310002554014
34,S,2,0.9,0.8,0.5,18.93754534891772,15.434544301413132,12.297003629941196,11.74221202292155,15.824933640736711
35,R,2,0.9,0.8,0.5,18.93754534891772,16.110332928649086,12.142745884500291,11.60284701076563,15.685022439576285
36,S,fro,0.9,0.8,2.0,68.68975577534437,47.693794246936,39.93940311890149,38.96914621250651,52.264828299022014
37,R,fro,0.9,0.8,2.0,68.68975577534437,48.643180793329094,39.45941354111154,38.679872151089434,51.92538330979899
38,S,2,0.9,0.8,2.0,18.93754534891772,15.434544301413132,12.297003629941196,11.74221202292155,14.472499885658332
39,R,2,0.9,0.8,2.0,18.93754534891772,16.110332928649086,12.142745884500291,11.60284701076563,14.244325757285806
40,S,fro,0.9,1.0,0.5,68.68975577534437,47.693794246936,39.93940311890149,38.96914621250651,57.23005574454658
41,R,fro,0.9,1.0,0.5,68.68975577534437,48.643180793329094,39.45941354111154,38.679872151089434,57.01299854122737
42,S,2,0.9,1.0,0.5,18.93754534891772,15.434544301413132,12.297003629941196,11.74221202292155,15.917747221060885
43,R,2,0.9,1.0,0.5,18.93754534891772,16.110332928649086,12.142745884500291,11.60284701076563,15.809229244491492
44,S,fro,0.9,1.0,2.0,68.68975577534437,47.693794246936,39.93940311890149,38.96914621250651,57.23005574454658
45,R,fro,0.9,1.0,2.0,68.68975577534437,48.643180793329094,39.45941354111154,38.679872151089434,57.01299854122737
46,S,2,0.9,1.0,2.0,18.93754534891772,15.434544301413132,12.297003629941196,11.74221202292155,15.917747221060885
47,R,2,0.9,1.0,2.0,18.93754534891772,16.110332928649086,12.142745884500291,11.60284701076563,15.809229244491492
48,S,fro,0.95,0.5,0.5,97.80866615094735,48.0087395336531,41.85925213268685,40.784704846700386,76.91508020975039
49,R,fro,0.95,0.5,0.5,97.80866615094735,44.75602671581322,40.35317336943367,39.42343374321736,76.318748415936
50,S,2,0.95,0.5,0.5,38.50264813100928,21.66791129330567,15.910084584269772,14.832144599324637,29.83279700233744
51,R,2,0.95,0.5,0.5,38.50264813100928,18.140091301414834,15.52988542174851,14.677733002764372,30.00084696916208
52,S,fro,0.95,0.5,2.0,97.80866615094735,48.0087395336531,41.85925213268685,40.784704846700386,78.01086216663417
53,R,fro,0.95,0.5,2.0,97.80866615094735,44.75602671581322,40.35317336943367,39.42343374321736,77.45717695658341
54,S,2,0.95,0.5,2.0,38.50264813100928,21.66791129330567,15.910084584269772,14.832144599324637,30.156742509965568
55,R,2,0.95,0.5,2.0,38.50264813100928,18.140091301414834,15.52988542174851,14.677733002764372,30.32281027887192
56,S,fro,0.95,0.8,0.5,97.80866615094735,48.0087395336531,41.85925213268685,40.784704846700386,80.5766920628902
57,R,fro,0.95,0.8,0.5,97.80866615094735,44.75602671581322,40.35317336943367,39.42343374321736,80.09989780453877
58,S,2,0.95,0.8,0.5,38.50264813100928,21.66791129330567,15.910084584269772,14.832144599324637,31.45115030342495
59,R,2,0.95,0.8,0.5,38.50264813100928,18.140091301414834,15.52988542174851,14.677733002764372,31.599246943223992
60,S,fro,0.95,0.8,2.0,97.80866615094735,48.0087395336531,41.85925213268685,40.784704846700386,73.16870855420328
61,R,fro,0.95,0.8,2.0,97.80866615094735,44.75602671581322,40.35317336943367,39.42343374321736,72.43285163992446
62,S,2,0.95,0.8,2.0,38.50264813100928,21.66791129330567,15.910084584269772,14.832144599324637,28.306288994843648
63,R,2,0.95,0.8,2.0,38.50264813100928,18.140091301414834,15.52988542174851,14.677733002764372,28.484532757144507
64,S,fro,0.95,1.0,0.5,97.80866615094735,48.0087395336531,41.85925213268685,40.784704846700386,26.768310151757557
65,R,fro,0.95,1.0,0.5,97.80866615094735,44.75602671581322,40.35317336943367,39.42343374321736,21.040130016660292
66,S,2,0.95,1.0,0.5,38.50264813100928,21.66791129330567,15.910084584269772,14.832144599324637,12.486114482467388
67,R,2,0.95,1.0,0.5,38.50264813100928,18.140091301414834,15.52988542174851,14.677733002764372,8.141494812599234
68,S,fro,0.95,1.0,2.0,97.80866615094735,48.0087395336531,41.85925213268685,40.784704846700386,25.91273123646503
69,R,fro,0.95,1.0,2.0,97.80866615094735,44.75602671581322,40.35317336943367,39.42343374321736,21.113947881558477
70,S,2,0.95,1.0,2.0,38.50264813100928,21.66791129330567,15.910084584269772,14.832144599324637,8.346364579581458
71,R,2,0.95,1.0,2.0,38.50264813100928,18.140091301414834,15.52988542174851,14.677733002764372,7.034203738388818
72,S,fro,0.99,0.5,0.5,211.66387261535434,42.46280483931103,45.16820696966792,45.23552215888602,200.7515431229165
73,R,fro,0.99,0.5,0.5,211.66387261535434,35.181650186554684,36.93109307724037,39.088225131236875,200.57321426400622
74,S,2,0.99,0.5,0.5,164.8475212829634,26.740706614250538,33.627321125464356,30.59485631206582,155.64261348515953
75,R,2,0.99,0.5,0.5,164.8475212829634,21.488681881969534,25.900213706083772,25.66826351676236,155.44473681144888
76,S,fro,0.99,0.5,2.0,211.66387261535434,42.46280483931103,45.16820696966792,45.23552215888602,199.00535176564995
77,R,fro,0.99,0.5,2.0,211.66387261535434,35.181650186554684,36.93109307724037,39.088225131236875,198.79603786171725
78,S,2,0.99,0.5,2.0,164.8475212829634,26.740706614250538,33.627321125464356,30.59485631206582,154.11771839732896
79,R,2,0.99,0.5,2.0,164.8475212829634,21.488681881969534,25.900213706083772,25.66826351676236,153.89181794413548
80,S,fro,0.99,0.8,0.5,211.66387261535434,42.46280483931103,45.16820696966792,45.23552215888602,205.92351832624618
81,R,fro,0.99,0.8,0.5,211.66387261535434,35.181650186554684,36.93109307724037,39.088225131236875,205.8317804705913
82,S,2,0.99,0.8,0.5,164.8475212829634,26.740706614250538,33.627321125464356,30.59485631206582,160.01214064740097
83,R,2,0.99,0.8,0.5,164.8475212829634,21.488681881969534,25.900213706083772,25.66826351676236,159.91187180714283
84,S,fro,0.99,0.8,2.0,211.66387261535434,42.46280483931103,45.16820696966792,45.23552215888602,206.15215369668346
