,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
0,S,fro,0.8,0.5,0.5,36.83463212055729,21.33160896677184,17.92835500908787,17.443127213770577,24.733456906757088
1,R,fro,0.8,0.5,0.5,36.83463212055729,21.058577031645726,17.78920631857547,17.308841412522106,24.583839131418962
2,S,2,0.8,0.5,0.5,8.981431705061558,6.567751309771241,5.377223896830431,5.050750168160141,6.077777309833397
3,R,2,0.8,0.5,0.5,8.981431705061558,6.396622776948426,5.314660922290137,4.995167421764566,6.036006650835071
4,S,fro,0.8,0.5,2.0,36.83463212055729,21.33160896677184,17.92835500908787,17.443127213770577,8.556871070180177
5,R,fro,0.8,0.5,2.0,36.83463212055729,21.058577031645726,17.78920631857547,17.308841412522106,7.792241861221112
6,S,2,0.8,0.5,2.0,8.981431705061558,6.567751309771241,5.377223896830431,5.050750168160141,2.2256575798273053
7,R,2,0.8,0.5,2.0,8.981431705061558,6.396622776948426,5.314660922290137,4.995167421764566,1.5182467073756558
8,S,fro,0.8,0.8,0.5,36.83463212055729,21.33160896677184,17.92835500908787,17.443127213770577,24.664624952519784
9,R,fro,0.8,0.8,0.5,36.83463212055729,21.058577031645726,17.78920631857547,17.308841412522106,24.51583924040038
10,S,2,0.8,0.8,0.5,8.981431705061558,6.567751309771241,5.377223896830431,5.050750168160141,6.0819138265401795
11,R,2,0.8,0.8,0.5,8.981431705061558,6.396622776948426,5.314660922290137,4.995167421764566,6.013392754637772
12,S,fro,0.8,0.8,2.0,36.83463212055729,21.33160896677184,17.92835500908787,17.443127213770577,7.536169291802135
13,R,fro,0.8,0.8,2.0,36.83463212055729,21.058577031645726,17.78920631857547,17.308841412522106,6.650926360098898
14,S,2,0.8,0.8,2.0,8.981431705061558,6.567751309771241,5.377223896830431,5.050750168160141,2.0252174110106638
15,R,2,0.8,0.8,2.0,8.981431705061558,6.396622776948426,5.314660922290137,4.995167421764566,1.375011003799261
16,S,fro,0.8,1.0,0.5,36.83463212055729,21.33160896677184,17.92835500908787,17.443127213770577,24.747078054623035
17,R,fro,0.8,1.0,0.5,36.83463212055729,21.058577031645726,17.78920631857547,17.308841412522106,24.598510113478373
18,S,2,0.8,1.0,0.5,8.981431705061558,6.567751309771241,5.377223896830431,5.050750168160141,6.088409982652072
19,R,2,0.8,1.0,0.5,8.981431705061558,6.396622776948426,5.314660922290137,4.995167421764566,6.041865063879889
20,S,fro,0.8,1.0,2.0,36.83463212055729,21.33160896677184,17.92835500908787,17.443127213770577,24.747078054623035
21,R,fro,0.8,1.0,2.0,36.83463212055729,21.058577031645726,17.78920631857547,17.308841412522106,24.598510113478373
22,S,2,0.8,1.0,2.0,8.981431705061558,6.567751309771241,5.377223896830431,5.050750168160141,6.088409982652072
23,R,2,0.8,1.0,2.0,8.981431705061558,6.396622776948426,5.314660922290137,4.995167421764566,6.041865063879889
24,S,fro,0.9,0.5,0.5,53.03790522429895,21.23296126349174,20.656024371702802,20.050878587749036,48.81765961078925
25,R,fro,0.9,0.5,0.5,53.03790522429895,21.1554880495551,19.990631782872637,19.493832996361053,48.770830002468294
26,S,2,0.9,0.5,0.5,18.83553062398229,8.479240043777112,8.20014138586756,7.671738409947117,17.42097117070078
27,R,2,0.9,0.5,0.5,18.83553062398229,8.911590401037289,7.888837425800158,7.3442550655332415,17.353823128641718
28,S,fro,0.9,0.5,2.0,53.03790522429895,21.23296126349174,20.656024371702802,20.050878587749036,48.735108391016595
29,R,fro,0.9,0.5,2.0,53.03790522429895,21.1554880495551,19.990631782872637,19.493832996361053,48.68773837896767
30,S,2,0.9,0.5,2.0,18.83553062398229,8.479240043777112,8.20014138586756,7.671738409947117,17.390861320263728
31,R,2,0.9,0.5,2.0,18.83553062398229,8.911590401037289,7.888837425800158,7.3442550655332415,17.316936269876308
32,S,fro,0.9,0.8,0.5,53.03790522429895,21.23296126349174,20.656024371702802,20.050878587749036,48.90094003158537
