,group,norm type,rho,eta,near factor,S or R,Sample,Linear Shrinkage,Nonlinear Shrinkage,Info Band
0,S,fro,0.8,0.5,0.5,47.62248664830408,71.30834878750355,36.13773218800757,36.24186335453179,40.34941906757153
1,R,fro,0.8,0.5,0.5,47.62248664830408,70.04391463871637,36.093016992061166,36.19499999087338,39.96380894088678
2,S,2,0.8,0.5,0.5,8.993148140582399,21.04527438736745,7.585310600850841,7.546860963253795,7.613297814729746
3,R,2,0.8,0.5,0.5,8.993148140582399,19.397994734213878,7.567967189686619,7.535544436090755,7.611591115990644
4,S,fro,0.8,0.5,2.0,47.62248664830408,71.30834878750355,36.13773218800757,36.24186335453179,40.329076876390104
5,R,fro,0.8,0.5,2.0,47.62248664830408,70.04391463871637,36.093016992061166,36.19499999087338,39.932378675428154
6,S,2,0.8,0.5,2.0,8.993148140582399,21.04527438736745,7.585310600850841,7.546860963253795,7.602750939014023
7,R,2,0.8,0.5,2.0,8.993148140582399,19.397994734213878,7.567967189686619,7.535544436090755,7.590732882760785
8,S,fro,0.8,0.8,0.5,47.62248664830408,71.30834878750355,36.13773218800757,36.24186335453179,40.377363281254986
9,R,fro,0.8,0.8,0.5,47.62248664830408,70.04391463871637,36.093016992061166,36.19499999087338,39.99638767205151
10,S,2,0.8,0.8,0.5,8.993148140582399,21.04527438736745,7.585310600850841,7.546860963253795,7.655502821349816
11,R,2,0.8,0.8,0.5,8.993148140582399,19.397994734213878,7.567967189686619,7.535544436090755,7.616072703144919
12,S,fro,0.8,0.8,2.0,47.62248664830408,71.30834878750355,36.13773218800757,36.24186335453179,40.23145630944298
13,R,fro,0.8,0.8,2.0,47.62248664830408,70.04391463871637,36.093016992061166,36.19499999087338,39.82143848167324
14,S,2,0.8,0.8,2.0,8.993148140582399,21.04527438736745,7.585310600850841,7.546860963253795,7.589060726808392
15,R,2,0.8,0.8,2.0,8.993148140582399,19.397994734213878,7.567967189686619,7.535544436090755,7.554531371317818
16,S,fro,0.8,1.0,0.5,47.62248664830408,71.30834878750355,36.13773218800757,36.24186335453179,41.27600547750933
17,R,fro,0.8,1.0,0.5,47.62248664830408,70.04391463871637,36.093016992061166,36.19499999087338,40.957412575824826
18,S,2,0.8,1.0,0.5,8.993148140582399,21.04527438736745,7.585310600850841,7.546860963253795,7.854745033062461
19,R,2,0.8,1.0,0.5,8.993148140582399,19.397994734213878,7.567967189686619,7.535544436090755,7.869369325235391
20,S,fro,0.8,1.0,2.0,47.62248664830408,71.30834878750355,36.13773218800757,36.24186335453179,41.27600547750933
21,R,fro,0.8,1.0,2.0,47.62248664830408,70.04391463871637,36.093016992061166,36.19499999087338,40.957412575824826
22,S,2,0.8,1.0,2.0,8.993148140582399,21.04527438736745,7.585310600850841,7.546860963253795,7.854745033062461
23,R,2,0.8,1.0,2.0,8.993148140582399,19.397994734213878,7.567967189686619,7.535544436090755,7.869369325235391
24,S,fro,0.9,0.5,0.5,68.68975577534437,70.27993598678859,47.62874295011878,47.00056159882939,41.20234035405798
25,R,fro,0.9,0.5,0.5,68.68975577534437,68.8414722748165,47.40779232319352,46.83351824482739,39.92224055049489
26,S,2,0.9,0.5,0.5,18.93754534891772,25.131544828502808,15.235125544127438,14.637866072438815,11.671945599633286
27,R,2,0.9,0.5,0.5,18.93754534891772,23.646558075055562,15.126927812788672,14.552719527499491,10.912869104224479
28,S,fro,0.9,0.5,2.0,68.68975577534437,70.27993598678859,47.62874295011878,47.00056159882939,28.022333825203077
29,R,fro,0.9,0.5,2.0,68.68975577534437,68.8414722748165,47.40779232319352,46.83351824482739,25.297767796493357
30,S,2,0.9,0.5,2.0,18.93754534891772,25.131544828502808,15.235125544127438,14.637866072438815,8.530100958153927
31,R,2,0.9,0.5,2.0,18.93754534891772,23.646558075055562,15.126927812788672,14.552719527499491,6.82459934147819
32,S,fro,0.9,0.8,0.5,68.68975577534437,70.27993598678859,47.62874295011878,47.00056159882939,22.675078776345718
33,R,fro,0.9,0.8,0.5,68.68975577534437,68.8414722748165,47.40779232319352,46.83351824482739,18.904307521623224
34,S,2,0.9,0.8,0.5,18.93754534891772,25.131544828502808,15.235125544127438,14.637866072438815,7.687915245055931
35,R,2,0.9,0.8,0.5,18.93754534891772,23.646558075055562,15.126927812788672,14.552719527499491,5.612647031197801
36,S,fro,0.9,0.8,2.0,68.68975577534437,70.27993598678859,47.62874295011878,47.00056159882939,30.55672428073247
37,R,fro,0.9,0.8,2.0,68.68975577534437,68.8414722748165,47.40779232319352,46.83351824482739,28.296345274716145
38,S,2,0.9,0.8,2.0,18.93754534891772,25.131544828502808,15.235125544127438,14.637866072438815,9.132446164922143
39,R,2,0.9,0.8,2.0,18.93754534891772,23.646558075055562,15.126927812788672,14.552719527499491,7.71477847552749
40,S,fro,0.9,1.0,0.5,68.68975577534437,70.27993598678859,47.62874295011878,47.00056159882939,21.687067197812908
41,R,fro,0.9,1.0,0.5,68.68975577534437,68.8414722748165,47.40779232319352,46.83351824482739,17.417712662012985
42,S,2,0.9,1.0,0.5,18.93754534891772,25.131544828502808,15.235125544127438,14.637866072438815,7.368488900938951
43,R,2,0.9,1.0,0.5,18.93754534891772,23.646558075055562,15.126927812788672,14.552719527499491,5.236831726186059
44,S,fro,0.9,1.0,2.0,68.68975577534437,70.27993598678859,47.62874295011878,47.00056159882939,23.09981818770011
45,R,fro,0.9,1.0,2.0,68.68975577534437,68.8414722748165,47.40779232319352,46.83351824482739,19.552340761929184
46,S,2,0.9,1.0,2.0,18.93754534891772,25.131544828502808,15.235125544127438,14.637866072438815,7.72166826223995
47,R,2,0.9,1.0,2.0,18.93754534891772,23.646558075055562,15.126927812788672,14.552719527499491,5.7670844122186455
48,S,fro,0.95,0.5,0.5,97.80866615094735,65.29960189213587,55.35048669046973,53.91557013025494,73.82399616482614
49,R,fro,0.95,0.5,0.5,97.80866615094735,65.01785359794182,54.14611571036095,53.18476236764524,72.81050651559056
50,S,2,0.95,0.5,0.5,38.50264813100928,26.050318681759496,23.367048085321848,21.68009632779652,28.897087998103896
51,R,2,0.95,0.5,0.5,38.50264813100928,25.717888999676816,22.54819407848903,21.17352844742902,28.599643152723473
52,S,fro,0.95,0.5,2.0,97.80866615094735,65.29960189213587,55.35048669046973,53.91557013025494,82.25821560022266
53,R,fro,0.95,0.5,2.0,97.80866615094735,65.01785359794182,54.14611571036095,53.18476236764524,81.65177271391867
54,S,2,0.95,0.5,2.0,38.50264813100928,26.050318681759496,23.367048085321848,21.68009632779652,32.10721660255625
55,R,2,0.95,0.5,2.0,38.50264813100928,25.717888999676816,22.54819407848903,21.17352844742902,31.967433406695285
56,S,fro,0.95,0.8,0.5,97.80866615094735,65.29960189213587,55.35048669046973,53.91557013025494,32.20860265413314
57,R,fro,0.95,0.8,0.5,97.80866615094735,65.01785359794182,54.14611571036095,53.18476236764524,26.76095979100655
58,S,2,0.95,0.8,0.5,38.50264813100928,26.050318681759496,23.367048085321848,21.68009632779652,12.323634517366566
59,R,2,0.95,0.8,0.5,38.50264813100928,25.717888999676816,22.54819407848903,21.17352844742902,8.236265202615332
60,S,fro,0.95,0.8,2.0,97.80866615094735,65.29960189213587,55.35048669046973,53.91557013025494,86.93349011590996
